date,gross_return,n_positions,n_long,n_short,return_coverage,turnover,fixed_cost,spread_cost,total_cost,net_return
2006-01-31,0.010260370945945946,369,185,184,1.0,1.0,0.001,0.0,0.001,0.009260370945945947
2006-02-28,-0.02560105528789659,369,185,184,1.0,1.246650998824912,0.0012466509988249119,0.0,0.0012466509988249119,-0.0268477062867215
2006-03-31,0.0026262776370595516,377,189,188,1.0,1.9681132500281437,0.0019681132500281437,0.0,0.0019681132500281437,0.0006581643870314079
2006-04-28,0.006808816503433526,377,189,188,1.0,1.5762974220421029,0.0015762974220421028,0.0,0.0015762974220421028,0.005232519081391424
2006-05-31,-0.0034050767945364726,371,186,185,1.0,1.6441517505347294,0.0016441517505347294,0.0,0.0016441517505347294,-0.005049228545071202
2006-06-30,0.04551371891891892,370,185,185,1.0,1.5905550712002325,0.0015905550712002326,0.0,0.0015905550712002326,0.04392316384771869
2006-07-31,-0.006588645536350677,367,184,183,1.0,0.8270270270270268,0.0008270270270270268,0.0,0.0008270270270270268,-0.007415672563377704
2006-08-31,-0.012914566259808196,371,186,185,1.0,1.9945945945945946,0.0019945945945945946,0.0,0.0019945945945945946,-0.014909160854402791
2006-09-29,0.004774939100011379,375,188,187,1.0,1.8291614518147683,0.0018291614518147683,0.0,0.0018291614518147683,0.002945777648196611
2006-10-31,0.0020885651041666663,384,192,192,1.0,1.625,0.0016250000000000001,0.0,0.0016250000000000001,0.00046356510416666616
2006-11-30,0.025315024483412808,395,198,197,1.0,1.716094959749782,0.001716094959749782,0.0,0.001716094959749782,0.023598929523663027
2006-12-29,0.007303695340826685,393,197,196,1.0,1.5990616828180282,0.0015990616828180282,0.0,0.0015990616828180282,0.005704633658008657
2007-01-31,0.008938414320873712,395,198,197,1.0,1.59024252679075,0.00159024252679075,0.0,0.00159024252679075,0.007348171794082961
2007-02-28,0.009718064915052314,393,197,196,1.0,1.797672153002102,0.001797672153002102,0.0,0.001797672153002102,0.007920392762050211
2007-03-30,0.01568424373173358,395,198,197,1.0,1.6760242014049118,0.0016760242014049118,0.0,0.0016760242014049118,0.014008219530328669
2007-04-30,-0.002950367223618091,399,200,199,1.0,1.7193718592964824,0.0017193718592964824,0.0,0.0017193718592964824,-0.004669739082914574
2007-05-31,0.00398035300931571,405,203,202,1.0,1.6791445154367652,0.0016791445154367654,0.0,0.0016791445154367654,0.002301208493878945
