column,nonmissing,missing_share,min,max
bls_cpi_u,347,0.0,154.4,315.664
bls_unrate,347,0.0,3.4,14.8
eia_wti_spot,347,0.0,11.35,133.88
fred_cpi,347,0.0,154.7,316.528
fred_indpro,347,0.0,72.6125,104.1004
fred_nfci,347,0.0,-0.821,3.067
fred_unrate,347,0.0,3.4,14.8
eia_wti_spot_return,346,0.002881844380403458,-0.43341321465251625,0.7256797583081569
bea_gdp,345,0.005763688760806916,-45.2,20.1
bea_gdp_yoy,345,0.005763688760806916,-53.0,inf
fred_10y2y_spread,339,0.023054755043227664,-1.06,2.84
fred_dgs10,339,0.023054755043227664,0.55,6.96
fred_dgs2,339,0.023054755043227664,0.11,6.69
fred_t10y3m,339,0.023054755043227664,-1.88,3.79
bls_cpi_u_yoy,335,0.0345821325648415,-0.02097161353676058,0.09059757964784154
fred_cpi_yoy,335,0.0345821325648415,-0.01958761003762277,0.08979361103105798
fred_indpro_yoy,335,0.0345821325648415,-0.17318282261376305,0.1655213518144698
bls_avg_hourly_earnings,225,0.3515850144092219,20.04,35.6
