latent_beta,characteristic,correlation,nobs
sdf_beta_03,beta_252d,-0.3066060438631763,464952
sdf_beta_03,atm_iv,-0.298720501831625,467085
sdf_beta_03,mean_iv,-0.2861296500382867,467085
sdf_beta_03,idio_vol_252d,-0.28146324779829507,461740
sdf_beta_05,beta_252d,-0.22920616343533698,464952
sdf_beta_04,beta_252d,-0.2248726044395179,464952
sdf_beta_05,atm_iv,-0.21896430695613642,467085
sdf_beta_05,mean_iv,-0.21175327886205575,467085
sdf_beta_05,idio_vol_252d,-0.18822795392238148,461740
sdf_beta_02,beta_252d,0.17004186162218538,464952
sdf_beta_06,beta_252d,0.15164917612815987,464952
sdf_beta_04,idio_vol_252d,-0.14851994163799878,461740
sdf_beta_04,atm_iv,-0.14556331414560916,467085
sdf_beta_02,mean_iv,0.14227745880772893,467085
sdf_beta_02,atm_iv,0.13796277741646834,467085
sdf_beta_04,mean_iv,-0.1276032742067225,467085
sdf_beta_02,idio_vol_252d,0.12387423930884006,461740
sdf_beta_06,idio_vol_252d,0.11920158088468177,461740
sdf_beta_06,atm_iv,0.10155314855256088,467085
sdf_beta_06,mean_iv,0.10087741360649415,467085
sdf_beta_01,fred_cpi_yoy,0.09787294828851788,467085
sdf_beta_01,bls_cpi_u_yoy,0.09758077039185616,467085
sdf_beta_03,fred_cpi_yoy,0.09410020232533735,467085
sdf_beta_03,bls_cpi_u_yoy,0.09335194011173176,467085
sdf_beta_01,fred_unrate,-0.08964573340866641,467085
sdf_beta_07,bls_cpi_u_yoy,-0.08360939851379158,467085
sdf_beta_07,fred_cpi_yoy,-0.08314839701011459,467085
sdf_beta_08,beta_252d,0.07407367967911069,464952
sdf_beta_08,momentum_12_2,0.07262402053031657,450383
sdf_beta_03,fred_10y2y_spread,-0.0713993154445065,456498
sdf_beta_02,fred_unrate,0.06978879372622385,467085
sdf_beta_07,mean_iv,-0.06672359472886175,467085
sdf_beta_06,momentum_12_2,0.06613865583876694,450383
sdf_beta_02,fred_cpi_yoy,-0.0652241578916571,467085
sdf_beta_02,bls_cpi_u_yoy,-0.06499693001893163,467085
