latent_factor,state_variable,correlation,nobs
sdf_factor_04,vxo_mean,0.2995200611491959,181
sdf_factor_03,baa,0.27855377039759033,227
sdf_factor_04,vxn_mean,0.2750077405548947,227
sdf_factor_04,vxo_eom,0.2613027587203537,181
sdf_factor_03,aaa,0.25698238987306643,227
sdf_factor_04,vix_mean,0.2559475002371414,227
sdf_factor_04,vxd_mean,0.25571161237276474,227
sdf_factor_04,vxn_eom,0.24165883700003146,227
sdf_factor_04,vxd_eom,0.23998905882108557,227
sdf_factor_04,vix_eom,0.23143462462397743,227
sdf_factor_03,ltiit,0.22402317625898235,227
sdf_factor_04,mswp10,0.21336804637930668,129
sdf_factor_04,mswp1,0.206579552026447,129
sdf_factor_07,sdf_lambda_02,-0.20362783030922035,227
sdf_factor_07,aaa,0.2035786750212483,227
sdf_factor_04,vix_log,0.19978857713502385,227
sdf_factor_07,sdf_lambda_07,0.1939114243450299,227
sdf_factor_07,ltiit,0.1932301926956422,227
sdf_factor_04,fred_nfci,0.19072342009553347,227
sdf_factor_07,fred_dgs10,0.17792177284700467,222
sdf_factor_03,fred_dgs10,0.17693229278624753,222
sdf_factor_02,vxo_realized_state_vol,-0.1758688819919669,181
sdf_factor_03,baa_aaa_spread,0.1747420898803558,227
sdf_factor_03,fred_nfci,0.17381871749907357,227
sdf_factor_06,sdf_lambda_03,-0.17265188172439955,227
sdf_factor_02,vix_realized_state_vol,-0.17220770352563175,227
sdf_factor_07,vix_change,0.17204733327961938,227
sdf_factor_07,mktrf,-0.17142477020271174,227
sdf_factor_06,aaa,0.17051813176313996,227
sdf_factor_07,vxd_mean,-0.16876308179924857,227
sdf_factor_01,sdf_lambda_08,0.1672199815980999,227
sdf_factor_06,vxo_realized_state_vol,-0.16622577608324168,181
sdf_factor_07,vxn_mean,-0.1653653207226147,227
sdf_factor_03,hml,0.1643893744108261,227
sdf_factor_07,baa,0.16425021867177741,227
sdf_factor_07,term_spread_10y_1y,-0.16308527191095734,129
sdf_factor_07,vix_mean,-0.1628942380064589,227
sdf_factor_05,baa,0.1623085212502997,227
sdf_factor_07,vxo_mean,-0.16045683903044655,181
sdf_factor_02,vxn_realized_state_vol,-0.15911974489891198,227
sdf_factor_04,sdf_lambda_04,0.15800418607219724,227
sdf_factor_07,term_spread_10y_ff,-0.15764019764038711,129
sdf_factor_04,vix_realized_state_vol,0.15669823178852463,227
sdf_factor_06,baa,0.1565458015681233,227
sdf_factor_04,baa_aaa_spread,0.1516118226059685,227
sdf_factor_04,vxd_realized_state_vol,0.15148723483098728,227
sdf_factor_04,sdf_lambda_01,-0.15119529233584927,227
sdf_factor_06,ltiit,0.15108339708322072,227
sdf_factor_07,bls_avg_hourly_earnings,-0.1492743152012946,224
sdf_factor_08,vxo_realized_state_vol,0.147212198809121,181
sdf_factor_05,aaa,0.14622972012818025,227
sdf_factor_03,term_spread_10y_ff,0.146094880053651,129
sdf_factor_08,sdf_lambda_08,0.14586864260143909,227
sdf_factor_04,cma,0.14585300826569939,227
sdf_factor_04,vxo_realized_state_vol,0.1453401106147929,181
sdf_factor_03,sdf_lambda_02,-0.1453203253775853,227
sdf_factor_07,fedfunds,0.14478445690115505,227
sdf_factor_07,fred_dgs2,0.14472106210181773,222
sdf_factor_06,sdf_lambda_08,-0.14385590116950114,227
sdf_factor_05,vxo_realized_state_vol,-0.1434959004798755,181
sdf_factor_05,ltiit,0.1429662938978059,227
sdf_factor_02,sdf_lambda_02,0.14268300481608426,227
sdf_factor_05,hml,0.14257173502118842,227
sdf_factor_02,vxd_realized_state_vol,-0.1401798990833932,227
