date,regsho_pilot,high_minus_low,n_assets,post,event_month
2004-01-01,0,0.023361418181818184,1156,0,-16
2004-01-01,1,0.0010940751445086723,518,0,-16
2004-02-01,0,-0.008795587012987011,1153,0,-15
2004-02-01,1,-0.0061223672513454255,520,0,-15
2004-03-01,0,0.011133086614173233,1143,0,-14
2004-03-01,1,0.00620768926553672,530,0,-14
2004-04-01,0,0.0013010978835978834,1133,0,-13
2004-04-01,1,-0.0034074999999999973,527,0,-13
2004-05-01,0,-0.0032357889182057994,1138,0,-12
2004-05-01,1,-0.0015366497175141186,531,0,-12
2004-06-01,0,-0.033018440193840315,1147,0,-11
2004-06-01,1,-0.025783655137212508,547,0,-11
2004-07-01,0,0.002295893476788033,1105,0,-10
2004-07-01,1,0.0006643583265331745,535,0,-10
2004-08-01,0,-0.006993097524353613,1108,0,-9
2004-08-01,1,0.0011069491525423705,531,0,-9
2004-09-01,0,-0.0020326514745308295,1118,0,-8
2004-09-01,1,0.0070871318681318685,545,0,-8
2004-10-01,0,-0.005843580901856757,1130,0,-7
2004-10-01,1,-0.017745027322404364,549,0,-7
2004-11-01,0,0.0021863856041131127,1167,0,-6
2004-11-01,1,-0.005214962566844915,561,0,-6
2004-12-01,0,-0.0048746099999999945,1199,0,-5
2004-12-01,1,-0.014155484042553193,565,0,-5
2005-01-01,0,-0.020505271573604066,1182,0,-4
2005-01-01,1,-0.009898989189189186,555,0,-4
2005-02-01,0,-0.000119679197994986,1197,0,-3
2005-02-01,1,-0.006317989304812831,559,0,-3
2005-03-01,0,-0.011384998220137506,1183,0,-2
2005-03-01,1,0.0024498074866310185,560,0,-2
2005-04-01,0,-0.007778453367875644,1158,0,-1
2005-04-01,1,-0.007999016304347815,552,0,-1
2005-05-01,0,-0.0095994329113924,1184,1,0
2005-05-01,1,0.009298470270270268,554,1,0
2005-06-01,0,0.00687613930348259,1205,1,1
2005-06-01,1,0.0005733262032085601,560,1,1
2005-07-01,0,-0.009942351219512197,1229,1,2
2005-07-01,1,-0.01121383510638298,563,1,2
2005-08-01,0,-0.03085814841849148,1232,1,3
2005-08-01,1,-0.02601168631211857,556,1,3
2005-09-01,0,0.00679324390243902,1230,1,4
2005-09-01,1,0.009751388131609872,553,1,4
2005-10-01,0,-0.0005526141093684656,1228,1,5
2005-10-01,1,0.004035082417582415,545,1,5
2005-11-01,0,0.0027210383693045555,1251,1,6
2005-11-01,1,8.677937158470001e-05,550,1,6
2005-12-01,0,-0.005426164677804282,1256,1,7
2005-12-01,1,-0.035664000000000036,546,1,7
2006-01-01,0,0.014706011058708734,1288,1,8
2006-01-01,1,0.013861576285592862,544,1,8
2006-02-01,0,-0.009735905529953917,1302,1,9
2006-02-01,1,0.006071445054945057,545,1,9
2006-03-01,0,-0.0007397923250564344,1328,1,10
2006-03-01,1,-0.008239065217391305,552,1,10
2006-04-01,0,-0.00047520695414515063,1333,1,11
2006-04-01,1,-0.013148371584699461,549,1,11
2006-05-01,0,-0.0013264406392694073,1314,0,12
2006-05-01,1,-0.006633063259668507,541,0,12
2006-06-01,0,-0.01212434862385322,1308,0,13
2006-06-01,1,-0.010286993715482768,532,0,13
2006-07-01,0,0.018713284646209007,1306,0,14
2006-07-01,1,0.033463813559322035,529,0,14
2006-08-01,0,0.009797843181818176,1320,0,15
2006-08-01,1,0.012328887005649715,531,0,15
2006-09-01,0,-0.00038550675675676216,1332,0,16
2006-09-01,1,0.009260516853932574,534,0,16
2006-10-01,0,0.011096698689956334,1374,0,17
2006-10-01,1,0.01052262430939226,543,0,17
2006-11-01,0,-0.002247736463969613,1417,0,18
2006-11-01,1,0.002453538043478261,552,0,18
2006-12-01,0,-0.0038679682203389826,1415,0,19
2006-12-01,1,0.01134786885245902,548,0,19
