fold,factor,value
1,theta_1,-0.08030722980463718
1,theta_2,-1.0574102975346586
1,theta_3,-0.4083199951219641
2,theta_1,-0.5895920021688853
2,theta_2,-0.5871360965524911
2,theta_3,-0.5031854666536103
3,theta_1,-0.6817514494989287
3,theta_2,-0.9700870945025208
3,theta_3,-0.7637060345192463
4,theta_1,-0.20709544221993292
4,theta_2,-2.2009988568475993
4,theta_3,-1.1818970896750385
5,theta_1,0.3781262412291177
5,theta_2,-3.1919238372515024
5,theta_3,-0.4424538537607933
6,theta_1,1.2277361650616552
6,theta_2,-3.305763820261016
6,theta_3,-0.35902889033999025
7,theta_1,1.4821011800608856
7,theta_2,-4.12803176249422
7,theta_3,-1.1858242180852596
8,theta_1,1.3002701614006404
8,theta_2,-4.389977236073399
8,theta_3,-1.3383105853864132
9,theta_1,0.5131086464498399
9,theta_2,-3.6049825171094265
9,theta_3,-1.63100221207837
10,theta_1,1.0320601758710402
10,theta_2,-3.8287823066931432
10,theta_3,-2.349620095087953
11,theta_1,0.03952256536414784
11,theta_2,-5.208415206308233
11,theta_3,-2.1109160393300765
12,theta_1,-0.22702056793825406
12,theta_2,-6.823729084852482
12,theta_3,1.674129557933385
13,theta_1,-0.641909817978838
13,theta_2,-6.269907337883218
13,theta_3,2.162748356981949
14,theta_1,-1.122855039852502
14,theta_2,-5.630883977230689
14,theta_3,2.662746164709869
