date,surfaces,pass_surfaces,pass_share,mean_rmse_total_variance,max_theta_projection_abs
1996-01-01,100,100,1.0,0.36518694213535313,5.645483279970165e-06
1996-02-01,100,100,1.0,0.33708666843068597,2.2306403194560787e-06
1996-03-01,100,100,1.0,0.30789682709683763,5.90945972067658e-06
1996-04-01,100,100,1.0,0.3643873723505175,9.457248848043776e-06
1996-05-01,100,100,1.0,0.3865763522502035,3.4946534785973427e-06
1996-06-01,100,100,1.0,0.3026916524165403,2.295211114500262e-06
1996-07-01,100,100,1.0,0.3467264284230409,1.2807720060070693e-05
1996-08-01,100,100,1.0,0.3308707241305227,2.0763468731033186e-06
1996-09-01,100,100,1.0,0.4005501387384121,1.8323412608323153e-06
1996-10-01,100,100,1.0,0.32418655391186846,1.5052748247867953e-06
1996-11-01,100,100,1.0,0.33380742083017717,2.4222433543386046e-06
1996-12-01,100,100,1.0,0.35690958186215743,3.936971598950123e-06
1997-01-01,100,100,1.0,0.3639860418181378,2.6851364314239845e-06
1997-02-01,100,100,1.0,0.3239007677404603,1.5359537393067058e-06
1997-03-01,100,100,1.0,0.2714907597769303,6.13776100211183e-06
1997-04-01,100,100,1.0,0.3327388422463511,2.751799861311355e-06
1997-05-01,100,100,1.0,0.3517427474771217,3.1227854875304217e-06
1997-06-01,100,100,1.0,0.34262491468482026,4.4020604412775555e-06
1997-07-01,100,100,1.0,0.40369393178357754,1.7250936155122076e-06
1997-08-01,100,100,1.0,0.39234833939738734,5.09613318233626e-06
1997-09-01,100,100,1.0,0.41847350973173614,5.7884221649207035e-06
1997-10-01,100,100,1.0,0.347399895473141,3.6406173404834874e-06
1997-11-01,100,100,1.0,0.2886196961707339,5.102278754831602e-06
1997-12-01,100,100,1.0,0.31428900415424016,4.985086180520071e-06
1998-01-01,100,100,1.0,0.3259811812778482,7.330501104796383e-06
1998-02-01,100,100,1.0,0.3861479290095773,2.222872036661272e-06
1998-03-01,100,100,1.0,0.3933964725480586,2.0393677990782066e-06
1998-04-01,100,100,1.0,0.4006343357400429,2.3572685656780834e-06
1998-05-01,100,100,1.0,0.30232749595276054,3.916805143222568e-06
1998-06-01,100,100,1.0,0.3257329793498047,2.6958020511447245e-06
1998-07-01,100,100,1.0,0.3500130824038591,4.3102159344998725e-06
1998-08-01,100,100,1.0,0.19239422094154912,1.8990246411498823e-06
1998-09-01,100,100,1.0,0.27731946612008734,2.8486652983161775e-06
1998-10-01,100,100,1.0,0.4154539656281532,5.147411243022759e-06
1998-11-01,100,100,1.0,0.4621199684546602,4.395615304630951e-06
1998-12-01,100,100,1.0,0.5053806476073316,3.368891617228087e-06
1999-01-01,100,100,1.0,0.5111237316062772,5.45610468272173e-06
1999-02-01,100,100,1.0,0.4678077994018639,2.8011461292720696e-06
1999-03-01,100,100,1.0,0.44738782743962363,2.706160771026589e-06
1999-04-01,100,100,1.0,0.4713345505716363,6.710659450126499e-06
1999-05-01,100,100,1.0,0.4002894184073726,3.5419405933490022e-06
1999-06-01,100,100,1.0,0.447107365105674,1.6154794924005955e-06
1999-07-01,100,100,1.0,0.3816739448796406,5.0024186526442804e-06
1999-08-01,100,100,1.0,0.44025934540873524,9.920220010783964e-06
1999-09-01,100,100,1.0,0.37512206852392915,1.808685018644951e-06
1999-10-01,100,100,1.0,0.4417557520325991,5.005871328789269e-06
1999-11-01,100,100,1.0,0.45354503963228837,2.355793336406009e-06
1999-12-01,100,100,1.0,0.5046934459537719,2.991177424860325e-06
2000-01-01,100,100,1.0,0.42505840924074695,5.467728227737112e-06
2000-02-01,100,100,1.0,0.5411234894584668,5.004786045148535e-06
2000-03-01,100,100,1.0,0.4706626475438144,2.6962283357079286e-06
2000-04-01,100,100,1.0,0.39452347648080405,1.6256066723840945e-06
2000-05-01,100,100,1.0,0.33947569407010014,1.8020336167712259e-06
2000-06-01,100,100,1.0,0.41430032425250984,5.85420270243775e-06
2000-07-01,100,100,1.0,0.33778396054725557,2.4250320244112444e-06
2000-08-01,100,100,1.0,0.4410512322964026,2.5037081670120642e-06
2000-09-01,100,100,1.0,0.4097912584482022,3.803031516813604e-06
2000-10-01,100,100,1.0,0.39582656081401835,2.4642236775562765e-06
2000-11-01,100,100,1.0,0.25528602862840416,4.155873333577809e-06
2000-12-01,100,100,1.0,0.23788499418214237,2.575197526333284e-06
2001-01-01,100,100,1.0,0.3443033156014468,2.9434114399151667e-06
2001-02-01,100,100,1.0,0.15572406421285265,3.833499490957237e-06
2001-03-01,100,100,1.0,0.19616724351774498,1.6219765013314458e-06
2001-04-01,100,100,1.0,0.3668020245092305,5.033275857435626e-06
2001-05-01,100,100,1.0,0.23517579919591597,4.824257136770704e-06
2001-06-01,100,100,1.0,0.3188232253441851,2.9622409734031407e-06
2001-07-01,100,100,1.0,0.1914810663941623,1.100362365891172e-06
2001-08-01,100,100,1.0,0.23972493242566884,4.092087574569803e-06
2001-09-01,100,100,1.0,0.17771250250685477,2.609598626412968e-06
2001-10-01,100,100,1.0,0.2566709269302615,2.329373682830038e-06
2001-11-01,100,100,1.0,0.2582857001937417,1.5969190210185502e-06
2001-12-01,100,100,1.0,0.22966270836351985,1.2049830298010988e-06
2002-01-01,100,100,1.0,0.23069976947496756,1.6871739667578822e-06
2002-02-01,100,100,1.0,0.28830662550395075,3.367557892874906e-06
2002-03-01,100,100,1.0,0.2098444642046812,1.7362455407843314e-06
2002-04-01,100,100,1.0,0.18837866049955335,8.601024781285105e-07
2002-05-01,100,100,1.0,0.19765185087021991,5.330060002917136e-06
2002-06-01,100,100,1.0,0.18594654622040166,2.1704389201460117e-06
2002-07-01,100,100,1.0,0.14648491323919857,8.169750019826338e-07
2002-08-01,100,100,1.0,0.16189476027672323,2.8894756414210576e-06
2002-09-01,100,100,1.0,0.16654203240411294,1.2771083648388526e-06
2002-10-01,100,100,1.0,0.16705611340640175,1.8654823484842709e-06
2002-11-01,100,100,1.0,0.20382175327647467,4.541031373928028e-06
2002-12-01,100,100,1.0,0.18924207959092598,2.429317349283977e-06
2003-01-01,100,100,1.0,0.1684273711519075,3.177702781353986e-06
2003-02-01,100,100,1.0,0.2360728812147485,1.942197150661684e-06
2003-03-01,100,100,1.0,0.16720050302717604,7.661553323989878e-07
2003-04-01,100,100,1.0,0.2499038772995048,1.5151888126396784e-06
2003-05-01,100,100,1.0,0.3305221237745063,5.929531087023321e-06
2003-06-01,100,100,1.0,0.25272286682893286,2.621103584843354e-06
2003-07-01,100,100,1.0,0.31603890376401683,2.7856691997563132e-06
2003-08-01,100,100,1.0,0.3766768584230803,3.880368375064336e-06
2003-09-01,100,100,1.0,0.2597078330988857,4.759272197674136e-06
2003-10-01,100,100,1.0,0.2937093386809101,2.4591967701104167e-06
2003-11-01,100,100,1.0,0.34865580832139664,7.144971794881272e-06
2003-12-01,100,100,1.0,0.29257866940621213,1.6697838245427477e-06
2004-01-01,100,100,1.0,0.29770929208230096,1.9056382279947215e-06
2004-02-01,100,100,1.0,0.32598315812941486,5.252639338593212e-06
2004-03-01,100,100,1.0,0.25890815369579817,5.118280675564524e-06
2004-04-01,100,100,1.0,0.22836741870625732,2.224105545678423e-06
2004-05-01,100,100,1.0,0.28240607786132793,5.882939381418595e-06
2004-06-01,100,100,1.0,0.243585824921619,1.7618532941465759e-06
2004-07-01,100,100,1.0,0.20503316222726306,2.537185347151194e-06
2004-08-01,100,100,1.0,0.2082691321922754,4.786972769454945e-06
2004-09-01,100,100,1.0,0.24861569107695325,4.409440217401084e-06
2004-10-01,100,100,1.0,0.20958195694434523,1.986509884588372e-06
2004-11-01,100,100,1.0,0.3140218859993271,2.0995539098400684e-06
2004-12-01,100,100,1.0,0.29159742084919826,1.8162694024326242e-06
2005-01-01,100,100,1.0,0.23344413586794188,1.1804535433590502e-06
2005-02-01,100,100,1.0,0.25035000699111015,5.055149068899922e-06
2005-03-01,100,100,1.0,0.25752061661504555,6.249950988301833e-06
2005-04-01,100,100,1.0,0.1930316236506609,8.6360485735959e-06
2005-05-01,100,100,1.0,0.2793035016115404,1.1562836023104595e-06
2005-06-01,100,100,1.0,0.22637524373300008,2.557257287483239e-06
2005-07-01,100,100,1.0,0.2552579563468983,2.729243251842206e-06
2005-08-01,100,100,1.0,0.2627327040692304,2.575080361166826e-06
2005-09-01,100,100,1.0,0.30412426709633866,2.1391373588031115e-06
2005-10-01,100,100,1.0,0.2305106726813904,7.435673331751547e-06
2005-11-01,100,100,1.0,0.30514035605182765,4.330087755022305e-07
2005-12-01,100,100,1.0,0.20772083880278228,4.3597750614132735e-06
2006-01-01,100,100,1.0,0.31473060838126843,2.499016789059283e-06
2006-02-01,100,100,1.0,0.26365111934151025,2.432984093247992e-06
2006-03-01,100,100,1.0,0.3032201741367059,2.6887797410779513e-06
2006-04-01,100,100,1.0,0.2266848404221177,2.1756613612922138e-06
2006-05-01,100,100,1.0,0.19791037105629955,1.1076168890955529e-06
2006-06-01,100,100,1.0,0.263779829040835,4.169658802954945e-06
2006-07-01,100,100,1.0,0.22211925248077086,1.019514203282057e-06
2006-08-01,100,100,1.0,0.21666787091406847,4.333879086049208e-06
2006-09-01,100,100,1.0,0.26912982104283784,4.195518312322122e-06
2006-10-01,100,100,1.0,0.20129520723622832,2.3751188416021307e-06
2006-11-01,100,100,1.0,0.34279065980662154,2.1676831742922786e-06
2006-12-01,100,100,1.0,0.27609919648879827,1.1128082437750209e-06
2007-01-01,100,100,1.0,0.22475463305898516,1.5120869658602487e-06
2007-02-01,100,100,1.0,0.30355036945543046,4.32015518736506e-06
2007-03-01,100,100,1.0,0.18099715062720537,2.288028167485301e-06
2007-04-01,100,100,1.0,0.28455967369002644,2.449549285521435e-06
2007-05-01,100,100,1.0,0.28365134277885423,1.8962644469655565e-06
2007-06-01,100,100,1.0,0.1950329315904672,4.717976917811839e-06
2007-07-01,100,100,1.0,0.27721907950699826,4.506054819941596e-06
2007-08-01,100,100,1.0,0.2585621169527314,3.158532960734206e-06
2007-09-01,100,100,1.0,0.23682939749060933,1.5987994181898557e-06
2007-10-01,100,100,1.0,0.231257029885316,1.8417762102096447e-06
2007-11-01,100,100,1.0,0.19904678917068241,1.4484921152524421e-06
2007-12-01,100,100,1.0,0.33765957438745,3.6361171940058057e-06
2008-01-01,100,100,1.0,0.19846618821450526,3.0441541318260157e-06
2008-02-01,100,100,1.0,0.27237949873892453,1.2443096424341604e-06
2008-03-01,100,100,1.0,0.2473656863959116,1.796667557840692e-06
2008-04-01,100,100,1.0,0.4007541669659465,6.26002265224912e-06
2008-05-01,100,100,1.0,0.3495726052352754,1.2862242790845357e-06
2008-06-01,100,100,1.0,0.46795696359682815,3.99639878145841e-06
2008-07-01,100,100,1.0,0.3627683792881233,3.1169513448059405e-06
2008-08-01,100,100,1.0,0.43339013403224974,7.040861188523095e-06
2008-09-01,100,100,1.0,0.22928388486016782,1.9724545241572855e-06
2008-10-01,100,100,1.0,0.15653217852743054,2.248053136089112e-06
2008-11-01,100,100,1.0,0.1266644687909129,3.3493104045767552e-06
2008-12-01,100,100,1.0,0.2620753914369406,1.2915539446822777e-06
2009-01-01,100,100,1.0,0.3678777392271018,7.388282615261588e-06
2009-02-01,100,100,1.0,0.4409268859689797,1.8767534344377168e-06
2009-03-01,100,100,1.0,0.5374244622337383,6.098080369998371e-06
2009-04-01,100,100,1.0,0.6182841964664199,2.4628257753178673e-06
2009-05-01,100,100,1.0,0.2530152809970492,8.934742146138319e-07
2009-06-01,100,100,1.0,0.31783320839624324,7.857392269050578e-07
2009-07-01,100,100,1.0,0.4546987354159046,4.584632440796099e-06
2009-08-01,100,100,1.0,0.332771578174359,6.93697804976523e-07
2009-09-01,100,100,1.0,0.4071270303688618,3.3872009979063478e-06
2009-10-01,100,100,1.0,0.6822393975160347,2.845518867644614e-06
2009-11-01,100,100,1.0,0.2938927113005882,3.942884693408644e-06
2009-12-01,100,100,1.0,0.4026619147812804,4.051623193168652e-06
2010-01-01,100,100,1.0,0.554016355194119,9.027620225143806e-06
2010-02-01,100,100,1.0,0.31523369667131124,6.517527967209169e-06
2010-03-01,100,100,1.0,0.37363184710511627,6.713151070592005e-06
2010-04-01,100,100,1.0,0.6073474209758737,2.455835952375196e-06
2010-05-01,100,100,1.0,0.49458147281143683,1.9495575092065565e-06
2010-06-01,100,100,1.0,0.536802710638778,4.198261113863566e-06
2010-07-01,100,100,1.0,0.227089880666607,2.151797206195738e-06
2010-08-01,100,100,1.0,0.339616253653466,2.4246856230591973e-06
2010-09-01,100,100,1.0,0.5354630634426062,7.1924869466943875e-06
2010-10-01,100,100,1.0,0.43115563355243436,1.3504506275907602e-05
2010-11-01,100,100,1.0,0.6140428297278056,2.888808905865403e-06
2010-12-01,100,100,1.0,0.4611457247877223,2.3575765224492784e-06
2011-01-01,100,100,1.0,0.41792305980840133,1.4695544710008335e-06
2011-02-01,100,100,1.0,0.34629389667126664,3.1497579673356313e-06
2011-03-01,100,100,1.0,0.36522846312798857,4.1511881388456295e-06
2011-04-01,100,100,1.0,0.30434027864157875,1.1039240658705651e-05
2011-05-01,100,100,1.0,0.24088406090794617,1.0907147518279814e-05
2011-06-01,100,100,1.0,0.243793515922397,4.7459377319203355e-06
2011-07-01,100,100,1.0,0.3205122379174902,5.7213462638650014e-06
2011-08-01,100,100,1.0,0.3018618384336296,2.222456874090284e-06
2011-09-01,100,100,1.0,0.503355607182629,2.2392400316206817e-06
2011-10-01,100,100,1.0,0.5211368010056359,2.1063536657095483e-06
2011-11-01,100,100,1.0,0.16687122500340504,1.1050377146659685e-06
2011-12-01,100,100,1.0,0.45467697806711416,1.5490434175369217e-06
2012-01-01,100,100,1.0,0.33261903108733093,5.022725507064507e-06
2012-02-01,100,100,1.0,0.3977630405491508,3.461548912397916e-06
2012-03-01,100,100,1.0,0.3612940502960346,3.3196495659026937e-06
2012-04-01,100,100,1.0,0.3231424319684326,1.8518859423721779e-06
2012-05-01,100,100,1.0,0.1840747000970074,2.3133167257327614e-06
2012-06-01,100,100,1.0,0.1700777467916647,4.087189044432726e-06
2012-07-01,100,100,1.0,0.36568589541690427,6.24789030156947e-06
2012-08-01,100,100,1.0,0.37885851071992804,3.2819695015007255e-06
2012-09-01,100,100,1.0,0.36458914852658664,3.791303080369346e-06
2012-10-01,100,100,1.0,0.327084719099115,4.641669588689723e-06
2012-11-01,100,100,1.0,0.35282269442863634,4.265119175617116e-06
2012-12-01,100,100,1.0,0.2236242042197552,2.2834846973296408e-06
2013-01-01,100,100,1.0,0.3127425388743065,1.6308672380116462e-05
2013-02-01,100,100,1.0,0.37196532070101634,3.0156692356619885e-06
